days,income,impressions,requests,clicks,new_followers,unfollows,net_followers,period,start,end,ecpm
7,80.59,29281,104329,172,810,44,766,前周,2026-08-24,2026-08-30,2.752296711177897
7,71.88,27109,95828,113,449,36,413,本周,2026-08-31,2026-09-06,2.651517946069571
30,601.33,182428,667344,940,4841,174,4667,最近30天,2026-08-08,2026-09-06,3.2962593461530028
91,2091.24,675258,2723824,3376,33414,523,32891,连续91天,2026-06-08,2026-09-06,3.0969496103711465
