date,slot_name,ad_requests,impressions,impression_rate,clicks,click_rate,ecpm,income,raw_json
2026-06-12,留言区广告,18560,692,0.0373,2,0.0029,3.48,2.41,"{""时间"": ""2026-06-12"", ""拉取量"": ""18,560"", ""曝光量"": ""692"", ""曝光率"": ""3.73%"", ""点击量"": ""2"", ""点击率"": ""0.29%"", ""eCPM（元）"": ""3.48"", ""收入（元）"": ""2.41""}"
2026-06-12,贴图底部推荐流广告,113,15,0.13269999999999998,0,0.0,1.33,0.02,"{""时间"": ""2026-06-12"", ""拉取量"": ""113"", ""曝光量"": ""15"", ""曝光率"": ""13.27%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""1.33"", ""收入（元）"": ""0.02""}"
2026-06-13,文章中部广告,14796,5865,0.39640000000000003,26,0.0044,3.56,20.86,"{""时间"": ""2026-06-13"", ""拉取量"": ""14,796"", ""曝光量"": ""5,865"", ""曝光率"": ""39.64%"", ""点击量"": ""26"", ""点击率"": ""0.44%"", ""eCPM（元）"": ""3.56"", ""收入（元）"": ""20.86""}"
2026-06-13,文章底部广告,7551,746,0.09880000000000001,0,0.0,3.49,2.6,"{""时间"": ""2026-06-13"", ""拉取量"": ""7,551"", ""曝光量"": ""746"", ""曝光率"": ""9.88%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""3.49"", ""收入（元）"": ""2.60""}"
2026-06-13,留言区广告,12573,440,0.035,1,0.0023,5.3,2.33,"{""时间"": ""2026-06-13"", ""拉取量"": ""12,573"", ""曝光量"": ""440"", ""曝光率"": ""3.50%"", ""点击量"": ""1"", ""点击率"": ""0.23%"", ""eCPM（元）"": ""5.30"", ""收入（元）"": ""2.33""}"
2026-06-13,贴图底部推荐流广告,54,5,0.0926,0,0.0,2.0,0.01,"{""时间"": ""2026-06-13"", ""拉取量"": ""54"", ""曝光量"": ""5"", ""曝光率"": ""9.26%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.00"", ""收入（元）"": ""0.01""}"
2026-06-14,文章中部广告,9783,3808,0.3892,23,0.006,3.84,14.63,"{""时间"": ""2026-06-14"", ""拉取量"": ""9,783"", ""曝光量"": ""3,808"", ""曝光率"": ""38.92%"", ""点击量"": ""23"", ""点击率"": ""0.60%"", ""eCPM（元）"": ""3.84"", ""收入（元）"": ""14.63""}"
2026-06-14,文章底部广告,4955,426,0.086,3,0.006999999999999999,5.49,2.34,"{""时间"": ""2026-06-14"", ""拉取量"": ""4,955"", ""曝光量"": ""426"", ""曝光率"": ""8.60%"", ""点击量"": ""3"", ""点击率"": ""0.70%"", ""eCPM（元）"": ""5.49"", ""收入（元）"": ""2.34""}"
2026-06-14,留言区广告,8243,262,0.0318,3,0.0115,5.0,1.31,"{""时间"": ""2026-06-14"", ""拉取量"": ""8,243"", ""曝光量"": ""262"", ""曝光率"": ""3.18%"", ""点击量"": ""3"", ""点击率"": ""1.15%"", ""eCPM（元）"": ""5.00"", ""收入（元）"": ""1.31""}"
2026-06-14,贴图底部推荐流广告,48,2,0.0417,0,0.0,0.0,0.0,"{""时间"": ""2026-06-14"", ""拉取量"": ""48"", ""曝光量"": ""2"", ""曝光率"": ""4.17%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""0.00"", ""收入（元）"": ""0.00""}"
2026-06-15,文章中部广告,17980,7334,0.4079,41,0.005600000000000001,3.17,23.27,"{""时间"": ""2026-06-15"", ""拉取量"": ""17,980"", ""曝光量"": ""7,334"", ""曝光率"": ""40.79%"", ""点击量"": ""41"", ""点击率"": ""0.56%"", ""eCPM（元）"": ""3.17"", ""收入（元）"": ""23.27""}"
2026-06-15,文章底部广告,9119,983,0.10779999999999999,3,0.0031,2.99,2.94,"{""时间"": ""2026-06-15"", ""拉取量"": ""9,119"", ""曝光量"": ""983"", ""曝光率"": ""10.78%"", ""点击量"": ""3"", ""点击率"": ""0.31%"", ""eCPM（元）"": ""2.99"", ""收入（元）"": ""2.94""}"
2026-06-15,留言区广告,12201,461,0.0378,1,0.0022,2.95,1.36,"{""时间"": ""2026-06-15"", ""拉取量"": ""12,201"", ""曝光量"": ""461"", ""曝光率"": ""3.78%"", ""点击量"": ""1"", ""点击率"": ""0.22%"", ""eCPM（元）"": ""2.95"", ""收入（元）"": ""1.36""}"
2026-06-15,贴图底部推荐流广告,72,5,0.0694,0,0.0,2.0,0.01,"{""时间"": ""2026-06-15"", ""拉取量"": ""72"", ""曝光量"": ""5"", ""曝光率"": ""6.94%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.00"", ""收入（元）"": ""0.01""}"
2026-06-16,文章中部广告,18348,7670,0.418,32,0.0042,3.31,25.36,"{""时间"": ""2026-06-16"", ""拉取量"": ""18,348"", ""曝光量"": ""7,670"", ""曝光率"": ""41.80%"", ""点击量"": ""32"", ""点击率"": ""0.42%"", ""eCPM（元）"": ""3.31"", ""收入（元）"": ""25.36""}"
2026-06-16,文章底部广告,9296,1029,0.1107,4,0.0039000000000000003,3.13,3.22,"{""时间"": ""2026-06-16"", ""拉取量"": ""9,296"", ""曝光量"": ""1,029"", ""曝光率"": ""11.07%"", ""点击量"": ""4"", ""点击率"": ""0.39%"", ""eCPM（元）"": ""3.13"", ""收入（元）"": ""3.22""}"
2026-06-16,留言区广告,10295,415,0.0403,0,0.0,2.65,1.1,"{""时间"": ""2026-06-16"", ""拉取量"": ""10,295"", ""曝光量"": ""415"", ""曝光率"": ""4.03%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.65"", ""收入（元）"": ""1.10""}"
2026-06-17,文章中部广告,12841,5416,0.4218,37,0.0068000000000000005,4.28,23.18,"{""时间"": ""2026-06-17"", ""拉取量"": ""12,841"", ""曝光量"": ""5,416"", ""曝光率"": ""42.18%"", ""点击量"": ""37"", ""点击率"": ""0.68%"", ""eCPM（元）"": ""4.28"", ""收入（元）"": ""23.18""}"
2026-06-17,文章底部广告,6559,786,0.1198,1,0.0013,3.19,2.51,"{""时间"": ""2026-06-17"", ""拉取量"": ""6,559"", ""曝光量"": ""786"", ""曝光率"": ""11.98%"", ""点击量"": ""1"", ""点击率"": ""0.13%"", ""eCPM（元）"": ""3.19"", ""收入（元）"": ""2.51""}"
2026-06-17,留言区广告,6190,278,0.0449,1,0.0036,3.17,0.88,"{""时间"": ""2026-06-17"", ""拉取量"": ""6,190"", ""曝光量"": ""278"", ""曝光率"": ""4.49%"", ""点击量"": ""1"", ""点击率"": ""0.36%"", ""eCPM（元）"": ""3.17"", ""收入（元）"": ""0.88""}"
2026-06-17,贴图底部推荐流广告,77,5,0.0649,0,0.0,2.0,0.01,"{""时间"": ""2026-06-17"", ""拉取量"": ""77"", ""曝光量"": ""5"", ""曝光率"": ""6.49%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.00"", ""收入（元）"": ""0.01""}"
2026-06-18,文章中部广告,10642,4316,0.4056,31,0.0072,4.58,19.77,"{""时间"": ""2026-06-18"", ""拉取量"": ""10,642"", ""曝光量"": ""4,316"", ""曝光率"": ""40.56%"", ""点击量"": ""31"", ""点击率"": ""0.72%"", ""eCPM（元）"": ""4.58"", ""收入（元）"": ""19.77""}"
2026-06-18,文章底部广告,5423,593,0.1093,2,0.0034000000000000002,4.23,2.51,"{""时间"": ""2026-06-18"", ""拉取量"": ""5,423"", ""曝光量"": ""593"", ""曝光率"": ""10.93%"", ""点击量"": ""2"", ""点击率"": ""0.34%"", ""eCPM（元）"": ""4.23"", ""收入（元）"": ""2.51""}"
2026-06-18,留言区广告,5645,222,0.0393,0,0.0,4.32,0.96,"{""时间"": ""2026-06-18"", ""拉取量"": ""5,645"", ""曝光量"": ""222"", ""曝光率"": ""3.93%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""4.32"", ""收入（元）"": ""0.96""}"
2026-06-18,贴图底部推荐流广告,67,2,0.029900000000000003,0,0.0,5.0,0.01,"{""时间"": ""2026-06-18"", ""拉取量"": ""67"", ""曝光量"": ""2"", ""曝光率"": ""2.99%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""5.00"", ""收入（元）"": ""0.01""}"
2026-06-19,文章中部广告,4931,2306,0.4677,11,0.0048,3.42,7.89,"{""时间"": ""2026-06-19"", ""拉取量"": ""4,931"", ""曝光量"": ""2,306"", ""曝光率"": ""46.77%"", ""点击量"": ""11"", ""点击率"": ""0.48%"", ""eCPM（元）"": ""3.42"", ""收入（元）"": ""7.89""}"
2026-06-19,文章底部广告,2541,361,0.1421,3,0.0083,3.49,1.26,"{""时间"": ""2026-06-19"", ""拉取量"": ""2,541"", ""曝光量"": ""361"", ""曝光率"": ""14.21%"", ""点击量"": ""3"", ""点击率"": ""0.83%"", ""eCPM（元）"": ""3.49"", ""收入（元）"": ""1.26""}"
2026-06-19,留言区广告,3065,119,0.0388,1,0.0084,3.36,0.4,"{""时间"": ""2026-06-19"", ""拉取量"": ""3,065"", ""曝光量"": ""119"", ""曝光率"": ""3.88%"", ""点击量"": ""1"", ""点击率"": ""0.84%"", ""eCPM（元）"": ""3.36"", ""收入（元）"": ""0.40""}"
