时间,拉取量,曝光量,曝光率,点击量,点击率,eCPM（元）,收入（元）
2026-06-17,"6,190",278,4.49%,1,0.36%,3.17,0.88
2026-06-16,"10,295",415,4.03%,0,0.00%,2.65,1.10
2026-06-15,"12,201",461,3.78%,1,0.22%,2.95,1.36
2026-06-14,"8,243",262,3.18%,3,1.15%,5.00,1.31
2026-06-13,"12,573",440,3.50%,1,0.23%,5.30,2.33
2026-06-12,"18,560",692,3.73%,2,0.29%,3.48,2.41
2026-06-11,"23,711",835,3.52%,4,0.48%,3.66,3.06
2026-06-10,"30,707","1,069",3.48%,2,0.19%,3.45,3.69
2026-06-09,"31,086","1,173",3.77%,2,0.17%,3.23,3.79
2026-06-08,"15,620",671,4.30%,1,0.15%,2.56,1.72
