date,ad_requests,impressions,impression_rate,clicks,click_rate,ecpm,income
2026-08-31,3593,439,0.1222,4,0.0091,3.64,1.60
2026-09-01,2054,250,0.1217,1,0.0040,8.60,2.15
2026-09-02,2059,266,0.1292,1,0.0038,1.95,0.52
2026-09-03,1743,241,0.1383,0,0.0000,2.53,0.61
2026-09-04,2307,285,0.1235,0,0.0000,7.58,2.16
2026-09-05,3557,409,0.1150,0,0.0000,3.15,1.29
2026-09-06,8471,1257,0.1484,2,0.0016,1.84,2.31
